well_number,wl_id,latitude,longitude
MORR_0052048,472476,45.84800896,-119.67778269
MORR_0052049,472477,45.84800896,-119.67778269
MORR_0052050,472478,45.84800896,-119.67778269
MORR_0052051,472479,45.84800896,-119.67778269
MORR_0052053,472746,45.84805103,-119.65183082
MORR_0052054,472747,45.84805103,-119.65183082
MORR_0052055,472748,45.85530607,-119.65185129
MORR_0052056,472749,45.84435918,-119.68284405
MORR_0052057,472750,45.84438009,-119.67768418
MORR_0052058,472751,45.84441559,-119.64654614
MORR_0052059,472752,45.84441559,-119.64654614
MORR_0052060,472753,45.84805103,-119.65183082
MORR_0052061,472754,45.84804565,-119.65707793
MORR_0052062,472755,45.84804565,-119.65707793
MORR_0052063,472756,45.84804565,-119.65707793
MORR_0052064,472757,45.84804565,-119.65707793
MORR_0052065,472758,45.84804565,-119.65707793
MORR_0052067,473137,45.84078366,-119.66205803
MORR_0052068,473333,45.81795441,-119.70891503
MORR_0052069,473334,45.83001,-119.74984
MORR_0052108,475006,45.9052,-119.44063
MORR_0052112,475574,45.71383987,-119.77765151
MORR_0052113,475575,45.71383987,-119.77765151
MORR_0052114,475576,45.71383987,-119.77765151
MORR_0052115,475577,45.71383987,-119.77765151
MORR_0052116,475578,45.71383987,-119.77765151
MORR_0052117,475579,45.71383987,-119.77765151
MORR_0052118,475580,45.71383987,-119.77765151
MORR_0052119,475581,45.71383987,-119.77765151
MORR_0052120,475582,45.71383987,-119.77765151
MORR_0052121,475583,45.71383987,-119.77765151
MORR_0052122,475584,45.71383987,-119.77765151
MORR_0052123,475585,45.71383987,-119.77765151
MORR_0052124,475586,45.71383987,-119.77765151
MORR_0052125,475587,45.71383987,-119.77765151
MORR_0052126,475588,45.71383987,-119.77765151
MORR_0052127,475589,45.71383987,-119.77765151
MORR_0052128,475590,45.71383987,-119.77765151
MORR_0052129,475591,45.71383987,-119.77765151
MORR_0052139,476546,45.88718,-119.5106
MORR_0052141,477185,45.89433,-119.52612
MORR_0052142,477217,45.90540999,-119.44100614
MORR_0052144,478187,45.71379144,-119.85507989
MORR_0052145,478188,45.71017213,-119.85507885
MORR_0052146,478189,45.71014227,-119.86549581
MORR_0052147,478190,45.71015301,-119.86033222
MORR_0052148,478191,45.71015301,-119.86033222
MORR_0052149,478836,45.84803672,-119.67263427
MORR_0052150,478837,45.84803672,-119.67263427
MORR_0052151,478838,45.84803672,-119.67263427
MORR_0052152,478839,45.84803672,-119.67263427
MORR_0052153,478840,45.84803672,-119.67263427
MORR_0052154,478841,45.84803672,-119.67263427
MORR_0052155,478842,45.84803672,-119.67263427
MORR_0052156,478843,45.84803672,-119.67263427
MORR_0052157,478844,45.84803672,-119.67263427
MORR_0052158,478845,45.84803672,-119.67263427
MORR_0052159,478846,45.84803672,-119.67263427
MORR_0052160,479025,45.80470647,-119.47353953
MORR_0052161,479026,45.80470647,-119.47353953
MORR_0052162,479027,45.80470647,-119.47353953
MORR_0052163,479028,45.80470647,-119.47353953
MORR_0052164,479029,45.80470647,-119.47353953
MORR_0052165,479030,45.80470647,-119.47353953
MORR_0052166,479031,45.80470647,-119.47353953
MORR_0052167,479032,45.80470647,-119.47353953
MORR_0052168,479033,45.80470647,-119.47353953
MORR_0052169,479034,45.80470647,-119.47353953
MORR_0052170,479035,45.80470647,-119.47353953
MORR_0052171,479036,45.80470647,-119.47353953
MORR_0052172,479037,45.80470647,-119.47353953
MORR_0052173,479080,45.70659796,-119.81375705
MORR_0052182,479979,45.84442997,-119.66217893
MORR_0052183,479980,45.84442997,-119.66217893
MORR_0052184,479981,45.84442997,-119.66217893
MORR_0052185,479982,45.84442997,-119.66217893
MORR_0052186,480093,45.84782328,-119.69812351
MORR_0052187,480094,45.84796806,-119.69325664
MORR_0052188,480095,45.84782328,-119.69812351
MORR_0052189,480096,45.84782328,-119.69812351
MORR_0052190,480147,45.9044,-119.53214
MORR_0052191,480893,45.6956864,-119.8136591
MORR_0052192,480894,45.6956864,-119.8136591
MORR_0052193,480895,45.6956864,-119.8136591
MORR_0052195,481929,45.82015,-119.72076
MORR_0052196,482217,45.84798128,-119.68293178
MORR_0052197,482259,45.692392,-119.808796
MORR_0052198,482260,45.69231,-119.808836
MORR_0052199,482261,45.692328,-119.808866
MORR_0052202,484475,45.88456,-119.508
