well_number,wl_id,latitude,longitude
UMAT_0050009,251359,45.83303375,-119.26686185
UMAT_0050010,251360,45.8189156,-119.31876447
UMAT_0050070,251455,45.85152814,-119.26842586
UMAT_0050092,251475,45.83685726,-119.34082042
UMAT_0050095,251478,45.84391888,-119.26159587
UMAT_0050119,251606,45.83277556,-119.34923327
UMAT_0050128,251608,45.84024491,-119.25639976
UMAT_0050143,251620,45.83676899,-119.33587713
UMAT_0050160,251644,45.89901152,-119.27335346
UMAT_0050165,251639,45.85478755,-119.25627356
UMAT_0050190,251674,45.85483304,-119.26149396
UMAT_0050211,251691,45.86237062,-119.25617469
UMAT_0050229,251702,45.85487789,-119.26672122
UMAT_0050232,251697,45.82957884,-119.28770154
UMAT_0050244,251735,45.87375027,-119.31510424
UMAT_0050263,251741,45.84270752,-119.34214011
UMAT_0050363,251849,45.87014469,-119.32028053
UMAT_0050390,251854,45.81530044,-119.3187732
UMAT_0050461,251931,45.82589941,-119.28249552
UMAT_0050479,251949,45.87013097,-119.31508888
UMAT_0050480,251950,45.87013097,-119.31508888
UMAT_0050488,251966,45.87373251,-119.30990927
UMAT_0050489,251967,45.87013097,-119.31508888
UMAT_0050493,251945,45.87013097,-119.31508888
UMAT_0050494,251946,45.87013097,-119.31508888
UMAT_0050504,251971,45.8438767,-119.2563765
UMAT_0050505,251972,45.87013097,-119.31508888
UMAT_0050572,252034,45.84096536,-119.37023649
UMAT_0050587,252052,45.73864174,-119.28225654
UMAT_0050654,247215,45.81513648,-119.29803502
UMAT_0050664,252164,45.88306,-119.29409
UMAT_0053461,254783,45.79358467,-119.31879183
UMAT_0054408,312560,45.83734237,-119.37023871
UMAT_0054435,314323,45.82242183,-119.30319748
UMAT_0054445,314422,45.81991687,-119.32797287
UMAT_0054457,315411,45.83079063,-119.32158491
UMAT_0054467,316296,45.83734237,-119.37023871
UMAT_0054565,322350,45.83360121,-119.33440726
UMAT_0054692,325264,45.90985464,-119.39312345
UMAT_0054705,326103,45.83362926,-119.33961051
UMAT_0054714,326434,45.89547944,-119.32036242
UMAT_0054724,326716,45.80822192,-119.33432046
UMAT_0054855,334034,45.87011676,-119.30989654
UMAT_0054861,334041,45.833706,-119.320847
UMAT_0054863,334066,45.79600599,-119.41612051
UMAT_0054938,338475,45.78594,-119.25375
UMAT_0054965,338706,45.72900913,-119.24930758
UMAT_0054984,340126,45.83723149,-119.33439347
UMAT_0054994,340370,45.84750619,-119.25635367
UMAT_0054998,340380,45.88618005,-119.2813893
UMAT_0055007,341318,45.82784018,-119.30063711
UMAT_0055044,343039,45.87739947,-119.35163259
UMAT_0055079,343795,45.89912018,-119.3099771
UMAT_0055097,344497,45.84795766,-119.357552
UMAT_0055119,345897,45.82594896,-119.28770167
UMAT_0055133,346595,45.82598809,-119.29288315
UMAT_0055172,348960,45.90985253,-119.3879006
UMAT_0055193,349799,45.86647083,-119.29946647
UMAT_0055201,349982,45.80479,-119.301
UMAT_0055223,351554,45.87011676,-119.30989654
UMAT_0055243,352410,45.84090973,-119.34475751
UMAT_0055246,352413,45.83694444,-119.36666666
UMAT_0055247,352414,45.83694444,-119.36305555
UMAT_0055273,353473,45.82245266,-119.30838306
UMAT_0055338,358510,45.78485596,-119.32717229
UMAT_0055390,360165,45.81887067,-119.31357839
UMAT_0055392,360463,45.90985464,-119.39312345
UMAT_0055422,361546,45.8366752,-119.26685371
UMAT_0055443,363481,45.79561843,-119.41604901
UMAT_0055471,366062,45.85487789,-119.26672122
UMAT_0055476,366332,45.8407407,-119.32395592
UMAT_0055483,366338,45.83551,-119.33006
UMAT_0055499,367445,45.8845119,-119.27862751
UMAT_0055513,368415,45.78253131,-119.29277583
UMAT_0055553,370679,45.82684,-119.285
UMAT_0055579,371836,45.79023896,-119.39069042
UMAT_0055580,371878,45.65005952,-119.41197427
UMAT_0055659,375800,45.79015461,-119.35005002
UMAT_0055661,375921,45.90276911,-119.42951677
UMAT_0055670,376676,45.72405353,-119.26666602
UMAT_0055838,386786,45.89185947,-119.30990417
UMAT_0055898,393761,45.84746388,-119.2511327
UMAT_0055906,393777,45.82589941,-119.28249552
UMAT_0055916,393797,45.87011676,-119.30989654
UMAT_0055919,393800,45.82239168,-119.29802974
UMAT_0055920,393801,45.81842819,-119.25120269
UMAT_0055924,393888,45.83718331,-119.32919325
UMAT_0055937,395680,45.83718331,-119.32919325
UMAT_0055967,400006,45.82580009,-119.27206367
UMAT_0055970,400189,45.84746388,-119.2511327
UMAT_0055972,400252,45.87014469,-119.32028053
UMAT_0056024,405863,45.84088611,-119.33955234
UMAT_0056025,406738,45.81977914,-119.32589541
UMAT_0056048,409093,45.83664487,-119.26165014
UMAT_0056090,411059,45.84088611,-119.33955234
UMAT_0056101,411683,45.62607639,-119.4330182
UMAT_0056116,413103,45.83079063,-119.32158491
UMAT_0056120,413339,45.88823498,-119.31512305
UMAT_0056175,416786,45.78481066,-119.38290136
UMAT_0056176,416787,45.78481066,-119.38290136
UMAT_0056177,416789,45.91530442,-119.35933235
UMAT_0056213,418775,45.84196,-119.34139
UMAT_0056279,424495,45.89185593,-119.31512305
UMAT_0056280,424939,45.82594896,-119.28770167
UMAT_0056324,427548,45.82957884,-119.28770154
UMAT_0056400,429496,45.90625977,-119.37745298
UMAT_0056411,430150,45.872564,-119.28678
UMAT_0056452,432622,45.85843195,-119.25622719
UMAT_0056462,432755,45.87319904,-119.28842692
UMAT_0056469,433031,45.60316332,-119.41521236
UMAT_0056482,433675,45.84424137,-119.26404287
UMAT_0056548,437229,45.87610853,-119.29547258
UMAT_0056549,437417,45.82639374,-119.28770296
UMAT_0056612,438937,45.84324,-119.28902
UMAT_0056617,439419,45.830012,-119.352783
UMAT_0056619,439564,45.80473495,-119.29916309
UMAT_0056658,442039,45.88818757,-119.29427728
UMAT_0056684,444652,45.904875,-119.410275
UMAT_0056697,445250,45.83154679,-119.32251723
UMAT_0056771,447668,45.81693,-119.27962
UMAT_0056880,454056,45.8559,-119.2995
UMAT_0056881,454083,45.835403,-119.271799
UMAT_0056885,455208,45.828148,-119.286793
UMAT_0056891,455532,45.84746388,-119.2511327
UMAT_0056913,456547,45.819371,-119.255709
UMAT_0056924,457021,45.87370712,-119.29427763
UMAT_0056961,458872,45.91732399,-119.29440433
UMAT_0056994,461495,45.84015,-119.36227
UMAT_0056996,461743,45.84102,-119.25665
UMAT_0057034,463990,45.88607,-119.52966
UMAT_0057058,465024,45.80881,-119.28764
UMAT_0057115,468559,45.821,-119.36604
UMAT_0057117,469083,45.70994531,-119.37594746
UMAT_0057221,475549,45.89382,-119.26524
UMAT_0057225,475906,45.90874,-119.3995
UMAT_0057241,477263,45.84589183,-119.34692686
UMAT_0057294,481380,45.8700798,-119.29869453
UMAT_0057386,486090,45.87171,-119.31089
UMAT_0057390,486320,45.87181419,-119.30896195
UMAT_0057391,486385,45.8838,-119.29549
UMAT_0057392,486509,45.83892,-119.31879
UMAT_0057415,487758,45.85724675,-119.32123953
UMAT_0057422,487765,45.85724675,-119.32123953
UMAT_0057433,490660,45.79964,-119.37447
UMAT_0057444,492016,45.8268,-119.31184
UMAT_0057533,496900,45.88276,-119.31804
UMAT_0057534,496983,45.897202,-119.286114
UMAT_0057546,497200,45.84277902,-119.37259189
UMAT_0057566,498016,45.775388,-119.408605
UMAT_0057574,500333,45.83771,-119.3428
UMAT_0057576,500520,45.64989,-119.40817
UMAT_0057596,500819,45.83202,-119.33495
UMAT_0057618,503448,45.8889,-119.318735
UMAT_0057632,505184,45.867915,-119.30486
UMAT_0057651,507266,45.67598,-119.38095
UMAT_0057659,508398,45.84037,-119.35614
UMAT_0057698,513753,45.880782,-119.277313
UMAT_0057700,514133,45.898713,-119.323888
UMAT_0057706,516069,45.826019,-119.321651
UMAT_0057715,518659,45.79248,-119.3807
UMAT_0057721,519168,45.818793,-119.353708
UMAT_0057722,519170,45.825316,-119.309345
UMAT_0057754,521226,45.82039,-119.29676
UMAT_0057813,522010,45.787829,-119.378726
UMAT_0057981,532814,45.882786,-119.328152
UMAT_0058008,533393,45.868413,-119.301656
UMAT_0058015,533523,45.799542,-119.359354
UMAT_0058040,534500,45.824349,-119.317515
UMAT_0058052,534775,45.90735,-119.38706
UMAT_0058105,535974,45.832943,-119.333562
UMAT_0058115,537184,45.831572,-119.28733861
UMAT_0058130,538196,45.84425,-119.26412
UMAT_0058149,539107,45.89324,-119.28477
UMAT_0058150,539108,45.8213,-119.31844
UMAT_0058172,540046,45.840781,-119.353392
UMAT_0058197,542812,45.8438767,-119.2563765
UMAT_0058201,543318,45.869023,-119.314737
UMAT_0058202,543319,45.86986271,-119.31540139
UMAT_0058239,546773,45.71147,-119.35749
UMAT_0058295,552975,45.84142362,-119.36638169
UMAT_0058311,555694,45.85507183,-119.30309788
UMAT_0058319,556982,45.88461511,-119.31512293
UMAT_0058328,557811,45.83901003,-119.35222069
UMAT_0058335,558341,45.79001411,-119.32403005
UMAT_0058358,558937,45.8290639,-119.28262092
UMAT_0058367,559654,45.8189156,-119.31876447
UMAT_0058399,560876,45.7136763,-119.55218435
UMAT_0058400,560877,45.7136763,-119.55218435
UMAT_0058406,562031,45.88101057,-119.3203248
UMAT_0058414,562482,45.87373251,-119.30990927
UMAT_0058419,563845,45.80782172,-119.28766563
UMAT_0058444,564450,45.89185952,-119.32034239
UMAT_0058446,565007,45.88643736,-119.2892664
UMAT_0058522,569767,45.86895,-119.28687
UMAT_0058546,570657,45.83664487,-119.26165014
UMAT_0058551,570771,45.83305372,-119.34569718
UMAT_0058569,571241,45.8664522,-119.29425575
